TIME_SINCE_START	COUNT_RATE	COUNT_RATE_ERR
7475	3.664313725490196E+01	1.917989463797238E+00
7485	3.654274509803921E+01	1.915360278923436E+00
7495	3.533803921568627E+01	1.883523818846742E+00
7505	3.483607843137255E+01	1.870098673964891E+00
7515	3.533803921568627E+01	1.883523818846742E+00
7525	3.322980392156862E+01	1.826475208649814E+00
7535	3.553882352941176E+01	1.888867159564728E+00
7545	3.604078431372549E+01	1.902159844040424E+00
7555	3.312941176470589E+01	1.823714095644607E+00
7565	3.282823529411765E+01	1.815405559971150E+00
7575	3.563921568627451E+01	1.891533169585370E+00
7585	3.473568627450980E+01	1.867402063082745E+00
7595	3.363137254901961E+01	1.837478170877302E+00
7605	3.383215686274510E+01	1.842955018108067E+00
7615	3.433411764705883E+01	1.856576452658892E+00
7625	3.433411764705883E+01	1.856576452658892E+00
7635	3.674352941176470E+01	1.920615049508040E+00
7645	3.443450980392157E+01	1.859288764481469E+00
7655	3.493647058823530E+01	1.872791402031950E+00
7665	3.443450980392157E+01	1.859288764481469E+00
7675	3.272784313725490E+01	1.812627585030806E+00
7685	3.433411764705883E+01	1.856576452658892E+00
7695	2.901333333333333E+01	1.706666666666667E+00
7705	3.754666666666667E+01	1.941491913367965E+00
7715	3.292862745098039E+01	1.818179290480925E+00
7725	3.604078431372549E+01	1.902159844040424E+00
7735	3.413333333333333E+01	1.851139906719199E+00
7745	3.503686274509804E+01	1.875480264008223E+00
7755	3.895215686274510E+01	1.977496154713571E+00
7765	3.373176470588236E+01	1.840218632013639E+00
7775	3.333019607843137E+01	1.829232153930149E+00
7785	3.684392156862745E+01	1.923237050796475E+00
7795	3.292862745098039E+01	1.818179290480925E+00
7805	3.634196078431373E+01	1.910091052216766E+00
7815	3.463529411764706E+01	1.864701552540281E+00
7825	3.674352941176470E+01	1.920615049508040E+00
7835	3.604078431372549E+01	1.902159844040424E+00
7845	3.312941176470589E+01	1.823714095644607E+00
7855	3.423372549019608E+01	1.853860172561005E+00
7865	3.814901960784314E+01	1.957003413545956E+00
7875	3.473568627450980E+01	1.867402063082745E+00
7885	3.162352941176471E+01	1.781784028792355E+00
7895	3.503686274509804E+01	1.875480264008223E+00
7905	3.513725490196079E+01	1.878165276498292E+00
7915	3.453490196078431E+01	1.861997125370118E+00
7925	3.503686274509804E+01	1.875480264008223E+00
7935	3.061960784313726E+01	1.753273644832425E+00
7945	3.584000000000000E+01	1.896853948505468E+00
7955	3.433411764705883E+01	1.856576452658892E+00
7965	3.192470588235294E+01	1.790248608640201E+00
