TIME_SINCE_START	COUNT_RATE	ERR
27565	2.780862745098039E+01	1.670858488680733E+00
27575	2.831058823529412E+01	1.685870995952606E+00
27585	3.102117647058823E+01	1.764733071685968E+00
27595	3.182431372549020E+01	1.787431535913648E+00
27605	3.734588235294117E+01	1.936293799854272E+00
27615	3.082039215686275E+01	1.759012690114282E+00
27625	3.162352941176471E+01	1.781784028792355E+00
27635	3.082039215686275E+01	1.759012690114282E+00
27645	3.373176470588236E+01	1.840218632013639E+00
27655	2.991686274509804E+01	1.733037327222670E+00
27665	3.021803921568628E+01	1.741738824573236E+00
27675	3.152313725490196E+01	1.778953551979354E+00
27685	3.132235294117647E+01	1.773279044533278E+00
27695	3.302901960784314E+01	1.820948795955908E+00
27705	3.614117647058823E+01	1.904807249419071E+00
27715	2.831058823529412E+01	1.685870995952606E+00
27725	3.072000000000000E+01	1.756145511859290E+00
27735	3.312941176470589E+01	1.823714095644607E+00
27745	3.403294117647059E+01	1.848415637536323E+00
27755	3.051921568627451E+01	1.750397065955157E+00
27765	3.473568627450980E+01	1.867402063082745E+00
27775	3.132235294117647E+01	1.773279044533278E+00
27785	3.072000000000000E+01	1.756145511859290E+00
27795	3.312941176470589E+01	1.823714095644607E+00
27805	3.142274509803921E+01	1.776118564437748E+00
27815	3.072000000000000E+01	1.756145511859290E+00
27825	3.011764705882353E+01	1.738843163676991E+00
27835	3.082039215686275E+01	1.759012690114282E+00
27845	3.102117647058823E+01	1.764733071685968E+00
27855	3.353098039215686E+01	1.834733616438921E+00
27865	3.232627450980392E+01	1.801472847804372E+00
27875	2.610196078431373E+01	1.618774889070140E+00
27885	3.142274509803921E+01	1.776118564437748E+00
27895	3.503686274509804E+01	1.875480264008223E+00
27905	3.784784313725491E+01	1.949263092851210E+00
27915	3.363137254901961E+01	1.837478170877302E+00
27925	3.122196078431373E+01	1.770434970458192E+00
27935	3.333019607843137E+01	1.829232153930149E+00
27945	3.021803921568628E+01	1.741738824573236E+00
27955	3.252705882352941E+01	1.807058823529412E+00
27965	3.292862745098039E+01	1.818179290480925E+00
27975	3.242666666666667E+01	1.804267997426088E+00
27985	3.473568627450980E+01	1.867402063082745E+00
27995	3.443450980392157E+01	1.859288764481469E+00
28005	3.282823529411765E+01	1.815405559971150E+00
28015	3.142274509803921E+01	1.776118564437748E+00
28025	3.363137254901961E+01	1.837478170877302E+00
28035	3.182431372549020E+01	1.787431535913648E+00
28045	3.443450980392157E+01	1.859288764481469E+00
28055	3.222588235294118E+01	1.798673354507938E+00
28065	3.413333333333333E+01	1.851139906719199E+00
28075	2.961568627450981E+01	1.724291919040519E+00
28085	3.343058823529412E+01	1.831984950301581E+00
28095	3.312941176470589E+01	1.823714095644607E+00
28105	2.851137254901961E+01	1.691838699555410E+00
28115	3.312941176470589E+01	1.823714095644607E+00
28125	3.082039215686275E+01	1.759012690114282E+00
28135	3.443450980392157E+01	1.859288764481469E+00
28145	3.413333333333333E+01	1.851139906719199E+00
28155	2.921411764705882E+01	1.712561905867995E+00
28165	3.021803921568628E+01	1.741738824573236E+00
28175	3.272784313725490E+01	1.812627585030806E+00
28185	2.871215686274510E+01	1.697785426852419E+00
28195	3.594039215686274E+01	1.899508748892813E+00
28205	3.072000000000000E+01	1.756145511859290E+00
28215	3.222588235294118E+01	1.798673354507938E+00
28225	3.152313725490196E+01	1.778953551979354E+00
28235	3.102117647058823E+01	1.764733071685968E+00
28245	3.102117647058823E+01	1.764733071685968E+00
28255	3.413333333333333E+01	1.851139906719199E+00
28265	3.232627450980392E+01	1.801472847804372E+00
28275	3.262745098039215E+01	1.809845346115257E+00
28285	3.594039215686274E+01	1.899508748892813E+00
28295	3.051921568627451E+01	1.750397065955157E+00
28305	3.453490196078431E+01	1.861997125370118E+00
28315	3.152313725490196E+01	1.778953551979354E+00
28325	3.343058823529412E+01	1.831984950301581E+00
28335	3.272784313725490E+01	1.812627585030806E+00
28345	3.132235294117647E+01	1.773279044533278E+00
28355	2.921411764705882E+01	1.712561905867995E+00
28365	3.483607843137255E+01	1.870098673964891E+00
28375	2.841098039215686E+01	1.688857483671665E+00
